<Thu Jan 15 14:55:57 2026><DYNAMIC><Updated DRONE STATE - x: 4.156712, y: 4.156712, vx: -0.612060, vy: -0.612060, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:55:57 2026><DYNAMIC><Updated DRONE STATE - x: 4.159694, y: 4.159694, vx: -0.609522, vy: -0.609522, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:55:57 2026><DYNAMIC><Updated DRONE STATE - x: 4.127639, y: 4.127639, vx: -0.581457, vy: -0.581457, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:55:57 2026><DYNAMIC><Updated DRONE STATE - x: 4.130742, y: 4.130742, vx: -0.579046, vy: -0.579046, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:55:57 2026><DYNAMIC><Updated DRONE STATE - x: 4.100020, y: 4.100020, vx: -0.552384, vy: -0.552384, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:55:57 2026><DYNAMIC><Updated DRONE STATE - x: 4.103237, y: 4.103237, vx: -0.550094, vy: -0.550094, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:55:57 2026><DYNAMIC><Updated DRONE STATE - x: 4.073781, y: 4.073781, vx: -0.524765, vy: -0.524765, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:55:57 2026><DYNAMIC><Updated DRONE STATE - x: 4.077108, y: 4.077108, vx: -0.522589, vy: -0.522589, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:55:57 2026><DYNAMIC><Updated DRONE STATE - x: 4.048855, y: 4.048855, vx: -0.498527, vy: -0.498527, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:55:57 2026><DYNAMIC><Updated DRONE STATE - x: 4.052285, y: 4.052285, vx: -0.496459, vy: -0.496459, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:55:57 2026><DYNAMIC><Updated DRONE STATE - x: 4.025175, y: 4.025175, vx: -0.473600, vy: -0.473600, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:55:57 2026><DYNAMIC><Updated DRONE STATE - x: 4.028703, y: 4.028703, vx: -0.471636, vy: -0.471636, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:55:58 2026><DYNAMIC><Updated DRONE STATE - x: 4.002679, y: 4.002679, vx: -0.449920, vy: -0.449920, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:55:58 2026><DYNAMIC><Updated DRONE STATE - x: 4.006300, y: 4.006300, vx: -0.448055, vy: -0.448055, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:55:58 2026><DYNAMIC><Updated DRONE STATE - x: 3.981308, y: 3.981308, vx: -0.427424, vy: -0.427424, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:55:58 2026><DYNAMIC><Updated DRONE STATE - x: 3.985017, y: 3.985017, vx: -0.425652, vy: -0.425652, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:55:58 2026><DYNAMIC><Updated DRONE STATE - x: 3.961005, y: 3.961005, vx: -0.406053, vy: -0.406053, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:55:58 2026><DYNAMIC><Updated DRONE STATE - x: 3.964799, y: 3.964799, vx: -0.404369, vy: -0.404369, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:55:58 2026><DYNAMIC><Updated DRONE STATE - x: 3.941718, y: 3.941718, vx: -0.385750, vy: -0.385750, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:55:58 2026><DYNAMIC><Updated DRONE STATE - x: 3.945591, y: 3.945591, vx: -0.384151, vy: -0.384151, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:55:58 2026><DYNAMIC><Updated DRONE STATE - x: 3.923394, y: 3.923394, vx: -0.366463, vy: -0.366463, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:55:58 2026><DYNAMIC><Updated DRONE STATE - x: 3.927344, y: 3.927344, vx: -0.364943, vy: -0.364943, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:55:58 2026><DYNAMIC><Updated DRONE STATE - x: 3.905988, y: 3.905988, vx: -0.348140, vy: -0.348140, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:55:58 2026><DYNAMIC><Updated DRONE STATE - x: 3.910010, y: 3.910010, vx: -0.346696, vy: -0.346696, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:55:58 2026><DYNAMIC><Updated DRONE STATE - x: 3.889451, y: 3.889451, vx: -0.330733, vy: -0.330733, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:55:58 2026><DYNAMIC><Updated DRONE STATE - x: 3.893542, y: 3.893542, vx: -0.329361, vy: -0.329361, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:55:58 2026><DYNAMIC><Updated DRONE STATE - x: 3.873741, y: 3.873741, vx: -0.314196, vy: -0.314196, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:55:59 2026><DYNAMIC><Updated DRONE STATE - x: 3.877897, y: 3.877897, vx: -0.312893, vy: -0.312893, fx: 0.000000, fy: 0.000000>
